date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2023-02-22,24272.51000000,24272.51000000,25250.00000000,25250.00000000,23840.83000000,23840.83000000,24329.38000000,24329.38000000,740064.61711000,740064.61711000
2023-02-19,21782.37000000,21782.37000000,25250.00000000,25250.00000000,21351.07000000,21351.07000000,24271.76000000,24271.76000000,2497565.47508000,2497565.47508000
2023-02-12,22932.91000000,22932.91000000,23452.00000000,23452.00000000,21451.00000000,21451.00000000,21783.54000000,21783.54000000,1976378.51282000,1976378.51282000
2023-02-05,23743.37000000,23743.37000000,24255.00000000,24255.00000000,22500.00000000,22500.00000000,22932.91000000,22932.91000000,1949971.72168000,1949971.72168000
2023-01-29,22706.02000000,22706.02000000,23960.54000000,23960.54000000,22300.00000000,22300.00000000,23742.30000000,23742.30000000,1946352.79600000,1946352.79600000
2023-01-22,20872.99000000,20872.99000000,23371.80000000,23371.80000000,20407.15000000,20407.15000000,22707.88000000,22707.88000000,2108890.06922000,2108890.06922000
2023-01-15,17127.83000000,17127.83000000,21258.00000000,21258.00000000,17104.66000000,17104.66000000,20871.50000000,20871.50000000,2145455.73458000,2145455.73458000
2023-01-08,16617.17000000,16617.17000000,17176.99000000,17176.99000000,16548.70000000,16548.70000000,17127.83000000,17127.83000000,1112349.61417000,1112349.61417000
2023-01-01,16832.11000000,16832.11000000,16972.83000000,16972.83000000,16333.00000000,16333.00000000,16616.75000000,16616.75000000,1028681.78419000,1028681.78419000
2022-12-25,16739.00000000,16739.00000000,17061.27000000,17061.27000000,16256.30000000,16256.30000000,16832.11000000,16832.11000000,1148035.81471000,1148035.81471000
2022-12-18,17085.05000000,17085.05000000,18387.95000000,18387.95000000,16527.32000000,16527.32000000,16738.21000000,16738.21000000,1511897.62621000,1511897.62621000
2022-12-11,17106.65000000,17106.65000000,17424.25000000,17424.25000000,16678.83000000,16678.83000000,17085.05000000,17085.05000000,1443791.97519000,1443791.97519000
2022-12-04,16428.77000000,16428.77000000,17324.00000000,17324.00000000,15995.27000000,15995.27000000,17105.70000000,17105.70000000,1572173.55626000,1572173.55626000
2022-11-27,16279.50000000,16279.50000000,16812.63000000,16812.63000000,15476.00000000,15476.00000000,16428.78000000,16428.78000000,1561058.47958300,1561058.47958300
2022-11-20,16331.78000000,16331.78000000,17190.00000000,17190.00000000,15815.21000000,15815.21000000,16280.23000000,16280.23000000,1626234.48043000,1626234.48043000
2022-11-13,20905.58000000,20905.58000000,21069.77000000,21069.77000000,15588.00000000,15588.00000000,16329.85000000,16329.85000000,3234391.87393200,3234391.87393200
